Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
350-U1437E-28R-1-A,350,U1437,E,28,28-1,R,1,A,90.0,93.0,1320.9,1320.93,VI,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-tuff [2014],with mudstone [2014],"matrix-supported, monomictic, evolved lapilli-tuff","matrix-supported, monomictic, evolved lapilli-tuff with mudstone",lapilli-tuff with mudstone,,dark green,,silt [W22_1],2.0,granule [W22_2],8.0,,irregular,sharp to gradational,inclined,,,,,,,,,,vitric [2014],,,,,,,,,fiamme [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-1-A,350,U1437,E,28,28-1,R,1,A,93.0,108.0,1320.93,1321.08,VI,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-tuff [2014],with mudstone [2014],"matrix-supported, monomictic, evolved lapilli-tuff","matrix-supported, monomictic, evolved lapilli-tuff with mudstone",lapilli-tuff with mudstone,,dark green,,silt [W22_1],2.0,granule [W22_2],8.0,,,not recovered,,,,reversely coarse-tail graded,,,,,,,vitric [2014],,,,,,,,,fiamme [2014],angular,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-1-A,350,U1437,E,28,28-1,R,1,A,108.0,128.0,1321.08,1321.28,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,green,,medium sand [W22_2],5.0,pebble [W22_2],9.0,,,not recovered,,,,,,,,,,,vitric [2014],vitric [2014],lithic [2014],"volcanic, mafic [2014]",rounded,,,,,pumice [2014],sub-rounded,fiamme [2014],angular,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,0.0,37.0,1321.28,1321.65,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,green,,medium sand [W22_2],5.0,pebble [W22_2],9.0,,planar,sharp,horizontal,,well [2014],normally graded,,,,,,,vitric [2014],lithic [2014],,"volcanic, mafic [2014]",sub-rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,37.0,40.0,1321.65,1321.68,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2.0,silt [W22_1],2.0,,curviplanar,sharp to gradational,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,40.0,44.0,1321.68,1321.72,VI,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark green,,silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp to gradational,horizontal,,,normally graded,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,44.0,48.0,1321.72,1321.76,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,sharp,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,48.0,51.0,1321.76,1321.79,VI,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,irregular,sharp to gradational,horizontal,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,51.0,97.0,1321.79,1322.25,VI,,,,tuffaceous,mudstone [2014],with tuff [2014],tuffaceous mudstone,tuffaceous mudstone with tuff,mudstone with tuff,,dark green,,silt [W22_1],2.0,fine sand [W22_2],4.0,thoroughly micro-faulted,irregular,diffuse,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crystal matrix [2014],,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,97.0,115.0,1322.25,1322.43,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,green,,fine sand [W22_2],4.0,pebble [W22_2],9.0,,irregular,sharp to gradational,inclined,,,,stratification,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,115.0,122.0,1322.43,1322.5,VI,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark brown,,silt [W22_1],2.0,granule [W22_2],8.0,,curviplanar,diffuse,inclined,,,,lenticular bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-2-A,350,U1437,E,28,28-2,R,2,A,122.0,131.0,1322.5,1322.59,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2.0,fine sand [W22_2],4.0,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,0.0,10.0,1322.59,1322.69,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark gray,,silt [W22_1],2.0,,,,irregular,sharp to gradational,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,10.0,17.0,1322.69,1322.76,VI,,,,,tuff [2014],,tuff,tuff,tuff,,green,,medium sand [W22_2],5.0,coarse sand [W22_2],6.0,,irregular,sharp,inclined,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,17.0,27.0,1322.76,1322.86,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark gray,,silt [W22_1],2.0,,,,curviplanar,sharp,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,27.0,40.0,1322.86,1322.99,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,green,,coarse sand [W22_2],6.0,pebble [W22_2],9.0,,curviplanar,sharp,inclined,,,normally graded,,,,,,,vitric [2014],lithic [2014],,"volcanic, mafic [2014]",rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,40.0,68.0,1322.99,1323.27,VI,,,,tuffaceous,mudstone [2014],with tuff [2014],tuffaceous mudstone,tuffaceous mudstone with tuff,mudstone with tuff,,dark gray,,silt [W22_1],2.0,coarse sand [W22_2],6.0,,planar,bioturbated,sub-horizontal,,,,,high,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,68.0,117.0,1323.27,1323.76,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],with mudstone [2014],"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff with mudstone",lapilli-tuff with mudstone,,green,,fine sand [W22_2],4.0,cobble [W22_2],10.0,,curviplanar,sharp to gradational,sub-vertical,,,,,,,,,,vitric [2014],lithic [2014],lithic [2014],mudstone [2014],rounded,"volcanic, mafic [2014]",rounded,"volcanic, evolved [2014]",rounded,pumice [2014],sub-rounded,fiamme [2014],angular,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-3-A,350,U1437,E,28,28-3,R,3,A,117.0,150.0,1323.76,1324.09,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,,not recovered,,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,0.0,58.0,1324.09,1324.67,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,irregular,sharp,sub-horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,58.0,63.0,1324.67,1324.72,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark brown,,,,,,,irregular,bioturbated,sub-horizontal,,,,,moderate [DB86],2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,63.0,95.0,1324.72,1325.04,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,fine sand [W22_2],4.0,coarse sand [W22_2],6.0,,curviplanar,sharp,horizontal,,,normally graded,lenticular bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,95.0,100.0,1325.04,1325.09,VI,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark green,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,planar,sharp,sub-horizontal,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,100.0,104.0,1325.09,1325.13,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark brown,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,sharp to gradational,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,104.0,105.0,1325.13,1325.14,VI,,,,,tuff [2014],,tuff,tuff,tuff,,green,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,irregular,sharp,sub-horizontal,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,105.0,107.0,1325.14,1325.16,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark brown,,silt [W22_1],2.0,silt [W22_1],2.0,,planar,sharp to gradational,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,107.0,111.0,1325.16,1325.2,VI,,,,,tuff [2014],,tuff,tuff,tuff,,green,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,planar,sharp,sub-horizontal,,,non-graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-4-A,350,U1437,E,28,28-4,R,4,A,111.0,124.0,1325.2,1325.33,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark green,,,,,,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,0.0,13.0,1325.33,1325.46,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark brown,,,,,,,irregular,diffuse,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,13.0,19.0,1325.46,1325.52,VI,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,irregular,sharp to gradational,inclined,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,19.0,50.0,1325.52,1325.83,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark brown,,,,,,,irregular,diffuse,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,50.0,72.0,1325.83,1326.05,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,medium sand [W22_2],5.0,coarse sand [W22_2],6.0,,irregular,sharp to gradational,sub-horizontal,,,reversely graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,72.0,78.0,1326.05,1326.11,VI,,,,tuffaceous,mudstone [2014],with tuff [2014],tuffaceous mudstone,tuffaceous mudstone with tuff,mudstone with tuff,,dark brown,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,sharp to gradational,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,78.0,85.0,1326.11,1326.18,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,fine sand [W22_2],4.0,coarse sand [W22_2],6.0,,irregular,sharp,sub-horizontal,,,,lenticular bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,85.0,125.0,1326.18,1326.58,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,fine sand [W22_2],4.0,fine sand [W22_2],4.0,,planar,sharp to gradational,horizontal,,,,convolute bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,125.0,141.0,1326.58,1326.74,VI,,,,,tuff [2014],with lapilli [2014],tuff,tuff with lapilli,tuff with lapilli,,dark gray,,fine sand [W22_2],4.0,granule [W22_2],8.0,,planar,sharp to gradational,horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-5-A,350,U1437,E,28,28-5,R,5,A,141.0,150.0,1326.74,1326.83,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2.0,fine sand [W22_2],4.0,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-6-A,350,U1437,E,28,28-6,R,6,A,0.0,54.0,1326.83,1327.37,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2.0,fine sand [W22_2],4.0,,irregular,sharp,horizontal,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-6-A,350,U1437,E,28,28-6,R,6,A,54.0,70.0,1327.37,1327.53,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,medium sand [W22_2],5.0,coarse sand [W22_2],6.0,,curviplanar,sharp,inclined,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-6-A,350,U1437,E,28,28-6,R,6,A,70.0,74.0,1327.53,1327.57,VI,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark brown,,silt [W22_1],2.0,silt [W22_1],2.0,,irregular,bioturbated,,,,,,slight [DB86],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-6-A,350,U1437,E,28,28-6,R,6,A,74.0,107.0,1327.57,1327.9,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark brown,,silt [W22_1],2.0,fine sand [W22_2],4.0,,planar,diffuse,horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-6-A,350,U1437,E,28,28-6,R,6,A,107.0,127.0,1327.9,1328.1,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,fine sand [W22_2],4.0,medium sand [W22_2],5.0,,irregular,sharp to gradational,horizontal,,,,,slight [DB86],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-6-A,350,U1437,E,28,28-6,R,6,A,127.0,141.0,1328.1,1328.24,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,dark brown,,silt [W22_1],2.0,fine sand [W22_2],4.0,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,0.0,23.0,1328.24,1328.47,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,gradational,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,23.0,40.0,1328.47,1328.64,VI,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,fine sand [W22_2],4.0,coarse sand [W22_2],6.0,,irregular,gradational,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,40.0,42.0,1328.64,1328.66,VI,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,coarse sand [W22_2],6.0,coarse sand [W22_2],6.0,,irregular,gradational,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,42.0,50.0,1328.66,1328.74,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,planar,sharp to gradational,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,50.0,59.0,1328.74,1328.83,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,dark gray,,coarse sand [W22_2],6.0,pebble [W22_2],9.0,,planar,sharp,horizontal,,,reversely coarse-tail graded,,,,,,,vitric [2014],lithic [2014],,"volcanic, evolved [2014]",sub-rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,59.0,74.0,1328.83,1328.98,VI,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark gray,,fine sand [W22_2],4.0,granule [W22_2],8.0,,curviplanar,sharp,inclined,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,74.0,82.0,1328.98,1329.06,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,curviplanar,sharp,sub-horizontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-28R-7-A,350,U1437,E,28,28-7,R,7,A,82.0,131.0,1329.06,1329.55,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,green,,medium sand [W22_2],5.0,cobble [W22_2],10.0,,,not recovered,,,,normally graded,,,,,,,vitric [2014],lithic [2014],lithic [2014],"volcanic, evolved [2014]",sub-rounded,mudstone [2014],rounded,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-1-A,350,U1437,E,29,29-1,R,1,A,0.0,10.0,1329.7,1329.8,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],with mudstone [2014],"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff with mudstone",lapilli-tuff with mudstone,,dark gray,,coarse sand [W22_2],6.0,cobble [W22_2],10.0,,planar,sharp,,,,non-graded,intraclast,,,,,,vitric [2014],lithic [2014],lithic [2014],"volcanic, evolved [2014]",sub-rounded,mudstone [2014],sub-rounded,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-1-A,350,U1437,E,29,29-1,R,1,A,10.0,23.0,1329.8,1329.93,VI,,,,tuffaceous,mudstone [2014],with lapilli-tuff [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli-tuff,mudstone with lapilli-tuff,,,,silt [W22_1],2.0,granule [W22_2],8.0,,irregular,gradational,sub-horizontal,,,,convolute bedded,,,,,,vitric [2014],lithic [2014],,"volcanic, evolved [2014]",sub-rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-1-A,350,U1437,E,29,29-1,R,1,A,23.0,62.0,1329.93,1330.32,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,dark gray,,coarse sand [W22_2],6.0,granule [W22_2],8.0,,irregular,diffuse,sub-horizontal,,,non-graded,,,,,,,vitric [2014],lithic [2014],,"volcanic, evolved [2014]",sub-rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-1-A,350,U1437,E,29,29-1,R,1,A,62.0,86.0,1330.32,1330.56,VI,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,sharp to gradational,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-1-A,350,U1437,E,29,29-1,R,1,A,86.0,150.0,1330.56,1331.2,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,dark gray,,coarse sand [W22_2],6.0,cobble [W22_2],10.0,,,not recovered,,,,non-graded,,,,,,,vitric [2014],lithic [2014],lithic [2014],"volcanic, evolved [2014]",sub-rounded,mudstone [2014],sub-rounded,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-2-A,350,U1437,E,29,29-2,R,2,A,0.0,150.0,1331.2,1332.7,VI,0.0,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],with tuffaceous mudstone,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff with tuffaceous mudstone",lapilli-tuff with tuffaceous mudstone,,dark gray,,coarse sand [W22_2],6.0,cobble [W22_2],10.0,,,not recovered,,,,non-graded,intraclast,,,,,,vitric [2014],lithic [2014],lithic [2014],"volcanic, evolved [2014]",sub-rounded,mudstone [2014],sub-rounded,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-3-A,350,U1437,E,29,29-3,R,3,A,0.0,67.0,1332.7,1333.37,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,green,,coarse sand [W22_2],6.0,pebble [W22_2],9.0,,irregular,sharp to gradational,inclined,,,normally coarse-tail graded,,,,,,,vitric [2014],lithic [2014],,"volcanic, evolved [2014]",rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-3-A,350,U1437,E,29,29-3,R,3,A,67.0,109.0,1333.37,1333.79,VI,,,,tuffaceous,mudstone [2014],with lapilli-tuff [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli-tuff,mudstone with lapilli-tuff,,green,,silt [W22_1],2.0,granule [W22_2],8.0,patches of lapilli-tuff,irregular,gradational,sub-horizontal,,,,patch or bleb,,,,,,vitric [2014],lithic [2014],,"volcanic, evolved [2014]",rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-3-A,350,U1437,E,29,29-3,R,3,A,109.0,122.0,1333.79,1333.92,VI,,,,"matrix-supported, polymictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, polymictic, evolved lapilli-tuff","matrix-supported, polymictic, evolved lapilli-tuff",lapilli-tuff,,dark green,,coarse sand [W22_2],6.0,pebble [W22_2],9.0,,irregular,sharp,inclined,,,,intraclast,,,,,,vitric [2014],lithic [2014],lithic [2014],"volcanic, evolved [2014]",rounded,mudstone [2014],sub-rounded,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
350-U1437E-29R-3-A,350,U1437,E,29,29-3,R,3,A,122.0,140.0,1333.92,1334.1,VI,,,,tuffaceous,mudstone [2014],with lapilli-tuff [2014],tuffaceous mudstone,tuffaceous mudstone with lapilli-tuff,mudstone with lapilli-tuff,,dark green,,coarse sand [W22_2],6.0,pebble [W22_2],9.0,patches of lapilli-tuff,,not recovered,,,,,,,,,,,vitric [2014],lithic [2014],,"volcanic, evolved [2014]",rounded,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,,,,,,,,,,
